Id,When,Commodity,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
1201882,1/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,8/16/2022 8:06:09 AM
1201883,1/1/1960 12:00:00 AM,Food,,,14,,,,,,,,,8/16/2022 8:06:09 AM
1201884,1/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.5,,,,,,,,,8/16/2022 8:06:09 AM
1201885,1/1/1960 12:00:00 AM,Transportation,,,14.6,,,,,,,,,8/16/2022 8:06:09 AM
1201886,2/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,8/16/2022 8:06:09 AM
1201887,2/1/1960 12:00:00 AM,Food,,,13.8,,,,,,,,,8/16/2022 8:06:09 AM
1201888,2/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.5,,,,,,,,,8/16/2022 8:06:09 AM
1201889,2/1/1960 12:00:00 AM,Transportation,,,14.6,,,,,,,,,8/16/2022 8:06:09 AM
1201890,3/1/1960 12:00:00 AM,All-items,,,15.4,,,,,,,,,8/16/2022 8:06:09 AM
1201891,3/1/1960 12:00:00 AM,Food,,,13.7,,,,,,,,,8/16/2022 8:06:09 AM
1201892,3/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.5,,,,,,,,,8/16/2022 8:06:09 AM
1201893,3/1/1960 12:00:00 AM,Transportation,,,14.6,,,,,,,,,8/16/2022 8:06:09 AM
1201894,4/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,8/16/2022 8:06:09 AM
1201895,4/1/1960 12:00:00 AM,Food,,,13.9,,,,,,,,,8/16/2022 8:06:09 AM
1201896,4/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.5,,,,,,,,,8/16/2022 8:06:09 AM
1201897,4/1/1960 12:00:00 AM,Transportation,,,14.6,,,,,,,,,8/16/2022 8:06:09 AM
1201898,5/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,8/16/2022 8:06:09 AM
1201899,5/1/1960 12:00:00 AM,Food,,,13.8,,,,,,,,,8/16/2022 8:06:09 AM
1201900,5/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.7,,,,,,,,,8/16/2022 8:06:09 AM
1201901,5/1/1960 12:00:00 AM,Transportation,,,14.7,,,,,,,,,8/16/2022 8:06:09 AM
1201902,6/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,8/16/2022 8:06:09 AM
1201903,6/1/1960 12:00:00 AM,Food,,,13.8,,,,,,,,,8/16/2022 8:06:09 AM
