Id,When,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
17718,1/1/1946 12:00:00 AM,,,12188000,,,,,,,,,6/22/2022 9:07:53 AM
17719,4/1/1946 12:00:00 AM,,,12241000,,,,,,,,,6/22/2022 9:07:53 AM
17720,7/1/1946 12:00:00 AM,,,12316000,,,,,,,,,6/22/2022 9:07:53 AM
17721,10/1/1946 12:00:00 AM,,,12393000,,,,,,,,,6/22/2022 9:07:53 AM
17722,1/1/1947 12:00:00 AM,,,12450000,,,,,,,,,6/22/2022 9:07:53 AM
17723,4/1/1947 12:00:00 AM,,,12507000,,,,,,,,,6/22/2022 9:07:53 AM
17724,7/1/1947 12:00:00 AM,,,12576000,,,,,,,,,6/22/2022 9:07:53 AM
17725,10/1/1947 12:00:00 AM,,,12646000,,,,,,,,,6/22/2022 9:07:53 AM
17726,1/1/1948 12:00:00 AM,,,12710000,,,,,,,,,6/22/2022 9:07:53 AM
17727,4/1/1948 12:00:00 AM,,,12773000,,,,,,,,,6/22/2022 9:07:53 AM
17728,7/1/1948 12:00:00 AM,,,12852000,,,,,,,,,6/22/2022 9:07:53 AM
17729,10/1/1948 12:00:00 AM,,,12930000,,,,,,,,,6/22/2022 9:07:53 AM
17730,1/1/1949 12:00:00 AM,,,12998000,,,,,,,,,6/22/2022 9:07:53 AM
17731,4/1/1949 12:00:00 AM,,,13399000,,,,,,,,,6/22/2022 9:07:53 AM
17732,7/1/1949 12:00:00 AM,,,13475000,,,,,,,,,6/22/2022 9:07:53 AM
17733,10/1/1949 12:00:00 AM,,,13548000,,,,,,,,,6/22/2022 9:07:53 AM
17734,1/1/1950 12:00:00 AM,,,13607000,,,,,,,,,6/22/2022 9:07:53 AM
17735,4/1/1950 12:00:00 AM,,,13663000,,,,,,,,,6/22/2022 9:07:53 AM
17736,7/1/1950 12:00:00 AM,,,13737000,,,,,,,,,6/22/2022 9:07:53 AM
17737,10/1/1950 12:00:00 AM,,,13807000,,,,,,,,,6/22/2022 9:07:53 AM
17738,1/1/1951 12:00:00 AM,,,13870000,,,,,,,,,6/22/2022 9:07:53 AM
17739,4/1/1951 12:00:00 AM,,,13937000,,,,,,,,,6/22/2022 9:07:53 AM
