,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE,VALUE
GEO,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
REF_DATE,,,,,,,,,,,,,
1997,184307.7,141853.3,38705.7,22205.2,18691.6,3921.5,26194.6,0.0,443713.9,3761.1,235964.8,54554.6,1559.7
1998,193229.9,143234.1,40446.3,23023.3,19598.3,3996.2,27189.9,0.0,463523.7,3911.1,243815.1,56802.9,1486.8
1999,195998.8,147986.4,41103.6,24525.7,20783.7,3257.0,28655.1,1229.9,495859.1,4071.8,258550.4,56889.8,1483.6
2000,207779.6,154965.9,42734.1,25058.0,21945.8,3483.8,29571.6,1280.3,527438.0,4191.4,270025.0,58198.3,1536.0
2001,211558.0,155830.5,43301.5,25444.8,22429.7,4212.4,30377.3,1361.4,536953.5,4139.5,274723.3,57580.0,1599.9
2002,216775.7,161762.2,44031.4,26653.8,26019.3,4514.4,31608.4,1396.7,555154.7,4340.2,282805.5,57517.3,1585.7
2003,224711.1,165799.6,44494.6,27240.8,27753.1,5122.8,32018.4,1397.4,561879.0,4415.8,286045.6,60001.8,1571.7
2004,237664.3,172580.4,45727.8,28008.6,27485.0,5249.3,32360.0,1464.6,577813.7,4545.9,293280.1,62708.6,1648.7
2005,248615.4,180855.0,47127.8,28281.0,28185.9,5180.1,32761.9,1454.8,596629.2,4690.6,297892.2,64170.3,1685.6
2006,264843.4,189185.8,48918.3,28787.2,29220.9,5199.4,32920.8,1473.3,608043.8,4804.3,301495.8,63374.8,1764.0
2007,269988.8,194682.7,50017.3,28962.4,32536.6,5655.2,33235.4,1597.2,613525.9,4781.6,309161.5,65908.5,1853.8
2008,273513.8,195789.1,51668.8,29215.2,31947.8,5113.6,33797.3,1808.0,611784.2,4836.1,314535.2,69352.3,2033.0
2009,258933.9,190709.2,51522.1,28802.1,28944.1,4581.2,33814.4,1690.3,591636.5,4845.2,311089.2,65649.2,2159.6
2010,272172.0,195819.3,52841.8,29404.4,30474.4,4707.0,34697.1,2004.3,609770.3,4948.2,317802.1,68913.4,2253.5
2011,290513.8,201413.0,54057.9,29467.6,31375.5,4273.9,34805.2,2120.3,625936.9,5043.5,324565.7,72611.6,2363.6
2012,302130.7,206590.7,55676.4,29117.4,29977.2,4249.9,34477.9,2173.1,634944.3,5090.7,328854.6,73952.2,2457.6
2013,319548.1,211555.3,57169.9,29017.0,31486.3,4367.3,34383.8,2392.5,643937.0,5187.4,333047.8,78708.5,2494.6
2014,338262.6,219060.9,58276.3,29039.6,31143.3,4574.6,34747.2,2362.6,659861.2,5205.6,338319.0,80175.7,2510.9
2015,326476.7,224153.4,59082.5,29275.7,30806.0,4621.3,35013.4,2353.0,677384.0,5280.7,341688.0,79574.2,2320.2
2016,314599.4,230763.5,59966.8,29546.0,31282.0,4570.3,35489.1,2479.2,692620.8,5393.8,347197.7,79317.5,2487.6
2017,327996.2,239205.8,61965.3,30243.0,31674.0,4736.6,36213.8,2806.3,711695.1,5635.9,357097.0,81121.1,2536.9
2018,334580.0,248162.8,63195.3,30645.4,30771.7,4800.5,36841.3,2932.3,735936.1,5731.6,368214.8,82387.5,2606.5
2019,334201.9,255697.7,63417.2,31017.2,31818.1,4508.9,37907.0,3083.6,750792.8,5992.5,378018.0,81454.2,2555.1
2020,307522.0,246927.4,60545.4,30051.5,30137.8,4035.8,36950.1,3163.6,713444.0,5882.6,357742.3,77272.8,2686.9
2021,323064.6,262187.0,61278.9,31629.8,30492.9,4291.2,39082.3,3375.6,746495.0,6273.2,377909.4,77038.4,2931.2
